"Site","Change","Change2","Change3","Age","Type","Disturbance","Ran","Sec","Ref","Height","WG","LG"
"Álvarez-Yépiz et al 2008a",-1.01459343261493,-0.63080404998581,0.532163742690059,25,"Dry","Arable agriculture","51.3",27.3,51.3,"Yes","Yes","General"
"Álvarez-Yépiz et al 2008b",-1.4496302362917,-0.967276286607023,0.380116959064328,25,"Dry","Arable agriculture","51.3",19.5,51.3,"Yes","Yes","General"
"Álvarez-Yépiz et al 2008c",-1.39362040121196,-0.922155851326553,0.39766081871345,25,"Dry","Arable agriculture","51.3",20.4,51.3,"Yes","Yes","General"
"Read et al 2003a",-2.34239047075566,-1.74099956675501,0.17534504391468,2,"Dry","Shifting agriculture","127.52",22.36,127.52,"Yes","Yes","General"
"Read et al 2003b",-3.13811587890869,-2.48741921392388,0.0831242158092848,3,"Dry","Shifting agriculture","127.52",10.6,127.52,"Yes","Yes","General"
"Read et al 2003c",-2.68420998585418,-2.05710810722919,0.127823086574655,4,"Dry","Shifting agriculture","127.52",16.3,127.52,"Yes","Yes","General"
"Read et al 2003d",-2.60936285292027,-1.98721584481452,0.137076537013802,5,"Dry","Shifting agriculture","127.52",17.48,127.52,"Yes","Yes","General"
"Read et al 2003e",-2.05069553252749,-1.47856650047112,0.227964240903388,8,"Dry","Shifting agriculture","127.52",29.07,127.52,"Yes","Yes","General"
"Read et al 2003f",-2.43561099986951,-1.82638598401106,0.160994353826851,8,"Dry","Shifting agriculture","127.52",20.53,127.52,"Yes","Yes","General"
"Read et al 2003g",-1.69176224473026,-1.16767798051567,0.311088456712673,10,"Dry","Shifting agriculture","127.52",39.67,127.52,"Yes","Yes","General"
"Read et al 2003h",-1.52559813083231,-1.02924307646292,0.357277289836888,12,"Dry","Shifting agriculture","127.52",45.56,127.52,"Yes","Yes","General"
"Read et al 2003i",-1.29815221375568,-0.84640950561397,0.428952321204517,12,"Dry","Shifting agriculture","127.52",54.7,127.52,"Yes","Yes","General"
"Read et al 2003j",-1.15762144803704,-0.737727273481796,0.478199498117942,12,"Dry","Shifting agriculture","127.52",60.98,127.52,"Yes","Yes","General"
"Read et al 2003k",-2.75162898656637,-2.12035158956048,0.119989434061943,3,"Dry","Shifting agriculture","151.43",18.17,151.43,"Yes","Yes","General"
