Study name		Site	Site name full	Age	AGB	AGB ref	Species richness	Sp rich ref	Age	Species richness	Sp rich ref	Age match
Becknell 2012		T	Becknell 2012T	10	9.9761	282.9090667	0.8557	16.8632	11.5239	3.9767	16.8632	12
Becknell 2012		U	Becknell 2012U	5	9.7799	282.9090667	0.8932	16.8632	5.1611	0.8932	16.8632	5
Becknell 2012		A	Becknell 2012A	5	54.551	282.9090667	2.9045	16.8632	5.523	2.9045	16.8632	5
Becknell 2012		B	Becknell 2012B	5	63.7962	282.9090667			10.115	0.8557	16.8632	10
Becknell 2012		C	Becknell 2012C	5	31.1021	282.9090667			9.2049	7.9441	16.8632	10
Becknell 2012		D	Becknell 2012D	12	140.8307	282.9090667	2.9242	16.8632	19.6274	11.9825	16.8632	19
Becknell 2012		E	Becknell 2012E	6.5	83.7642	282.9090667			8.8167	12.9898	16.8632	10
Becknell 2012	B	F	Becknell 2012BF	35	431.7262	282.9090667	3.8806	16.8632	7.6364	10.9495	16.8632	7.5
Becknell 2012		G	Becknell 2012G	5	97.201	282.9090667	3.9557	16.8632	5.5253	3.9557	16.8632	5
Becknell 2012		H	Becknell 2012H	12	102.4508	282.9090667	3.9767	16.8632	15.8037	5.9522	16.8632	15
Becknell 2012		I	Becknell 2012I	5.5	119.2675	282.9090667	4.8864	16.8632	13.105	15.0254	16.8632	13
Becknell 2012	A	J	Becknell 2012AJ	21	171.7511	282.9090667	5.9431	16.8632	26.5836	11.9721	16.8632	25
Becknell 2012		K	Becknell 2012K	10	157.1329	282.9090667			26.937	13.9235	16.8632	25
Becknell 2012		L	Becknell 2012L	15	76.2767	282.9090667	5.9522	16.8632	14.6625	10.9089	16.8632	15
Becknell 2012		M	Becknell 2012M	6.5	90.1663	282.9090667	6.9536	16.8632	8.9151	6.9536	16.8632	10
Becknell 2012		N	Becknell 2012N	15	133.8466	282.9090667	6.9729	16.8632	18.6611	11.954	16.8632	19
Becknell 2012		O	Becknell 2012O	12	150.0703	282.9090667			26.1541	8.9697	16.8632	25
Becknell 2012		P	Becknell 2012P	10	105.2153	282.9090667	7.9441	16.8632	13.3429	8.9289	16.8632	13
Becknell 2012		Q	Becknell 2012Q	13	103.2063	282.9090667	8.9289	16.8632	16.8874	13.0077	16.8632	17
Becknell 2012	A	R	Becknell 2012AR	25	89.4567	282.9090667	8.9697	16.8632	31.6136	10.9135	16.8632	33
Becknell 2012		S	Becknell 2012S	11	55.5027	282.9090667	8.9922	16.8632	12.4836	2.9242	16.8632	12
Becknell 2012	A	T	Becknell 2012AT	25	157.6933	282.9090667	9.9663	16.8632	32.4795	17.9992	16.8632	33
Becknell 2012	B	U	Becknell 2012BU	50	168.6245	282.9090667	9.983	16.8632	67.8407	19.9282	16.8632	70
Becknell 2012	B	V	Becknell 2012BV	60	142.7306	282.9090667	10.8685	16.8632				
Becknell 2012		W	Becknell 2012W	15	143.0862	282.9090667	10.9089	16.8632	23.1633	16.0013	16.8632	23
Becknell 2012		X	Becknell 2012X	17	221.3405	282.9090667			24.6596	11.975	16.8632	25
Becknell 2012	A	Y	Becknell 2012AY	30	173.5258	282.9090667	10.9135	16.8632	37.865	19.9431	16.8632	37
Becknell 2012	A	U	Becknell 2012AU	18	94.8679	282.9090667	10.9333	16.8632	21.8719	5.9431	16.8632	21
Becknell 2012		V	Becknell 2012V	7.5	113.6657	282.9090667	10.9495	16.8632	13.7854	12.0213	16.8632	13
Becknell 2012	A	W	Becknell 2012AW	25	149.8808	282.9090667	10.9513	16.8632	32.1177	15.9878	16.8632	33
Becknell 2012	C	X	Becknell 2012CX	70	315.1276	282.9090667	11.8745	16.8632				
Becknell 2012	A	Y	Becknell 2012AY	21	177.4371	282.9090667			27.2335	15.995	16.8632	25
Becknell 2012	A	Z	Becknell 2012AZ	18	187.9748	282.9090667	11.954	16.8632	26.4376	10.9513	16.8632	25
Becknell 2012	A	[	Becknell 2012A[	25	143.4729	282.9090667	11.9721	16.8632	35.5137	17.9947	16.8632	35
Becknell 2012	A	\	Becknell 2012A\	23	196.7056	282.9090667	11.975	16.8632	27.5934	19.0276	16.8632	30
Becknell 2012	A	]	Becknell 2012A]	19	146.8305	282.9090667	11.9825	16.8632	22.4477	9.9663	16.8632	23
Becknell 2012		^	Becknell 2012^	15	143.0806	282.9090667	12.0213	16.8632	15.9498	6.9729	16.8632	15
Becknell 2012	A	_	Becknell 2012A_	25	210.9988	282.9090667	12.9628	16.8632	38.0068	20.9339	16.8632	37
Becknell 2012		`	Becknell 2012`	7.5	82.3875	282.9090667	12.9898	16.8632	11.2054	8.9922	16.8632	11
Becknell 2012	A	a	Becknell 2012Aa	21	108.4954	282.9090667	13.0033	16.8632	22.2752	16.0026	16.8632	23
Becknell 2012		b	Becknell 2012b	17	112.6029	282.9090667	13.0077	16.8632	19.7734	13.0033	16.8632	19
Becknell 2012	A	c	Becknell 2012Ac	25	107.9415	282.9090667	13.9235	16.8632	26.7995	12.9628	16.8632	25
Becknell 2012		d	Becknell 2012d	15	82.6733	282.9090667	14.0015	16.8632	18.441	10.9333	16.8632	18
Becknell 2012	A	e	Becknell 2012Ae	35	220.6308	282.9090667	14.9592	16.8632	43.2572	22.9681	16.8632	45
Becknell 2012	A	f	Becknell 2012Af	25	215.974	282.9090667			38.4556	23.0354	16.8632	37
Becknell 2012		g	Becknell 2012g	13	89.6966	282.9090667	15.0254	16.8632	15.031	14.0015	16.8632	15
Becknell 2012	C	A	Becknell 2012CA	70	251.8717	282.9090667	15.8976	16.8632				
Becknell 2012	A	B	Becknell 2012AB	30	253.1287	282.9090667			43.325	23.959	16.8632	45
Becknell 2012	B	C	Becknell 2012BC	65	294.3144	282.9090667	15.9052	16.8632				
Becknell 2012	B	D	Becknell 2012BD	60	234.4161	282.9090667	15.9125	16.8632	71.5735	11.8745	16.8632	70
Becknell 2012	B	E	Becknell 2012BE	50	186.3986	282.9090667	15.9275	16.8632	72.6528	18.8999	16.8632	70
Becknell 2012	A	F	Becknell 2012AF	30	148.6499	282.9090667	15.9878	16.8632	42.9736	20.9865	16.8632	45
Becknell 2012	A	G	Becknell 2012AG	25	238.007	282.9090667	15.995	16.8632	37.5791	16.9104	16.8632	37
Becknell 2012	A	H	Becknell 2012AH	23	180.3586	282.9090667	16.0013	16.8632	25.8746	20.9822	16.8632	25
Becknell 2012	A	I	Becknell 2012AI	23	166.8489	282.9090667	16.0026	16.8632	35.4924	3.8806	16.8632	35
Becknell 2012	B	J	Becknell 2012BJ	35	191.496	282.9090667			51.3176	9.983	16.8632	50
Becknell 2012	B	K	Becknell 2012BK	65	230.3477	282.9090667	16.8657	16.8632				
Becknell 2012	B	A	Becknell 2012BA	35	147.4302	282.9090667	16.9104	16.8632	42.6179	17.9841	16.8632	45
Becknell 2012	B	B	Becknell 2012BB	40	188.8436	282.9090667	17.9841	16.8632	48.0059	20.979	16.8632	50
Becknell 2012	B	C	Becknell 2012BC	35	234.1404	282.9090667	17.9916	16.8632	42.7641	19.0049	16.8632	45
Becknell 2012	A	D	Becknell 2012AD	35	225.6059	282.9090667	17.9947	16.8632	40.0049	20.9308	16.8632	40
Becknell 2012	A	E	Becknell 2012AE	33	412.4521	282.9090667	17.9992	16.8632	5.6585	4.8864	16.8632	5.5
Becknell 2012	C	F	Becknell 2012CF	70	286.698	282.9090667	18.8999	16.8632				
Becknell 2012	B	G	Becknell 2012BG	40	192.4029	282.9090667	19.0049	16.8632	51.2283	8.842	16.8632	50
Becknell 2012	B	H	Becknell 2012BH	45	188.3346	282.9090667			62.8128	19.9657	16.8632	65
Becknell 2012	A	I	Becknell 2012AI	25	227.3458	282.9090667	19.0276	16.8632	37.1518	14.9592	16.8632	37
Becknell 2012	B	J	Becknell 2012BJ	65	250.9647	282.9090667	19.9282	16.8632				
Becknell 2012	A	K	Becknell 2012AK	35	123.9701	282.9090667	19.9431	16.8632	52.9684	21.0015	16.8632	50
Becknell 2012	B	L	Becknell 2012BL	60	133.4966	282.9090667	19.9657	16.8632				
Becknell 2012	B	M	Becknell 2012BM	40	151.1743	282.9090667	20.9308	16.8632	52.3163	15.9275	16.8632	50
Becknell 2012	B	N	Becknell 2012BN	37	334.4332	282.9090667	20.9339	16.8632	49.0175	27.0135	16.8632	50
Becknell 2012	B	O	Becknell 2012BO	45	333.32	282.9090667	20.979	16.8632	67.4765	16.8657	16.8632	65
Becknell 2012	A	P	Becknell 2012AP	25	167.6437	282.9090667	20.9822	16.8632	37.5857	17.9916	16.8632	37
Becknell 2012	B	Q	Becknell 2012BQ	60	210.2565	282.9090667						
Becknell 2012	B	R	Becknell 2012BR	40	216.5681	282.9090667	20.9865	16.8632	62.3067	15.9125	16.8632	60
Becknell 2012	B	S	Becknell 2012BS	50	396.0725	282.9090667	21.0015	16.8632	8.3913	10.0174	16.8632	7.5
