ID	Study ID	Site ID	Type of disturbance	Time since last disturbance (years)	Type of forest	Reference type	Age of reference (years)	Country	Latitude	Longitude	Mean annual temperature	Mean annual rainfall	Elevation	Soil type	Forest class
272	Becknell 2012	Becknell 2012A	Pasture	5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012B	Pasture	5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012C	Pasture	5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012D	Pasture	5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012E	Pasture	5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012F	Pasture	5.5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012G	Pasture	6.5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012H	Pasture	6.5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012I	Pasture	7.5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012J	Pasture	7.5	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012K	Pasture	10	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012L	Pasture	10	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012M	Pasture	10	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012N	Pasture	11	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012O	Pasture	12	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012P	Pasture	12	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012Q	Pasture	12	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
272	Becknell 2012	Becknell 2012R	Pasture	13	Tropical dry forest	Primary forest	-9999	Costa Rica	10.865676	-85.72673	-9999	1600	-999	Entisols and vertisols	Secondary
