Age	AGB	Ref	Age	Site code
2.2872	5.9172	247.8	2	a
5.9085	9.8385	247.8	6	b
6.8615	11.6947	247.8	7	c
7.8145	10.8361	247.8	8	d
7.8145	7.9121	247.8	8	e
7.8526	6.0231	247.8	8	f
9.6823	10.7987	247.8	10	g
10.5972	5.5632	247.8	11	h
10.5972	10.158	247.8	11	i
10.6353	14.117	247.8	11	j
11.5502	12.2232	247.8	12	k
11.5502	8.6726	247.8	12	l
12.4651	12.0003	247.8	12	m
13.418	15.9452	247.8	13	n
11.5883	24.5364	247.8	12	o
13.418	23.2551	247.8	13	p
9.6823	30.8488	247.8	10	q
10.6353	39.5974	247.8	11	r
11.5883	38.7386	247.8	12	s
11.5883	32.2641	247.8	12	t
12.4651	34.139	247.8	12	u
14.3329	32.4307	247.8	14	v
9.6442	44.8514	247.8	10	w
10.6353	43.9832	247.8	11	x
10.5972	48.7963	247.8	11	y
11.5502	47.9375	247.8	12	z
11.6263	50.6341	247.8	12	aa
12.5032	51.8824	247.8	13	ab
13.3799	54.175	247.8	13	ac
13.418	49.7798	247.8	13	ad
12.4651	43.9552	247.8	12	ae
15.1715	45.3843	247.8	15	af
15.1715	39.5363	247.8	15	ag
12.4651	65.2584	247.8	12	ah
15.1715	67.7318	247.8	15	ai
18.9072	60.9736	247.8	19	aj
17.0394	68.9475	247.8	17	ak
13.418	79.0196	247.8	13	al
15.1334	99.696	247.8	15	am
16.0864	89.6476	247.8	16	an
18.9072	81.2326	247.8	19	ao
19.8221	84.9779	247.8	20	ap
22.5667	109.3718	247.8	23	aq
