ID,Site,Disturbance,Age,Type,Tax,Prop,lnRR,Proploss,Proploss2,Ran,Rich_Ref,Size
Benavides et al 2006,Benavides et al 2006a,Shifting agriculture,2,Wet,Epiphytes,0.268604164,-1.314516492,-0.731395836,-1.863444417,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006B,Shifting agriculture,3,Wet,Epiphytes,0.405745911,-0.90202815,-0.594254089,-1.368434121,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006C,Shifting agriculture,4,Wet,Epiphytes,0.177290789,-1.729964018,-0.822709211,-2.33028799,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006D,Shifting agriculture,5,Wet,Epiphytes,0.407568058,-0.897547346,-0.592431942,-1.362809717,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006E,Shifting agriculture,6,Wet,Epiphytes,0.313624474,-1.159558953,-0.686375526,-1.68214052,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006F,Shifting agriculture,7,Wet,Epiphytes,0.362007514,-1.01609031,-0.637992486,-1.509561708,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006G,Shifting agriculture,8,Wet,Epiphytes,0.336481431,-1.089212313,-0.663518569,-1.598147292,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006H,Shifting agriculture,9,Wet,Epiphytes,0.04202155,-3.1695727,-0.95797845,-3.841485238,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006I,Shifting agriculture,10,Wet,Epiphytes,0.54298838,-0.610667359,-0.45701162,-0.987054861,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006J,Shifting agriculture,11,Wet,Epiphytes,0.36385942,-1.010987695,-0.63614058,-1.503327858,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006K,Shifting agriculture,12,Wet,Epiphytes,0.842319529,-0.171595848,-0.157680471,-0.318014258,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006L,Shifting agriculture,13,Wet,Epiphytes,0.840376058,-0.173905799,-0.159623942,-0.322001563,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006M,Shifting agriculture,14,Wet,Epiphytes,0.317264189,-1.148020447,-0.682735811,-1.668441375,43.68472857,43.68472857,NA
Benavides et al 2006,Benavides et al 2006N,Shifting agriculture,15,Wet,Epiphytes,0.109047261,-2.215973903,-0.890952739,-2.8530547,43.68472857,43.68472857,NA
