"ID","Site","Disturbance","Age","Type","Measurement","Prop_Ref","Prop_Sec","Tax","Prop","proploss","proploss2","asin"
"Fujisaka et al 1997","Fujisaka et al 1997a","Shifting agriculture",1.5,"Tropical rainforest","Proportion of primary forest species",1,0.340179003,"All plants",0.340179003,-0.659820997,-0.662496623087602,0.589158082906559
"Fujisaka et al 1997","Fujisaka et al 1997a","Shifting agriculture",1.5,"Tropical rainforest","Proportion of primary forest species",1,0.307410268,"Trees",0.307410268,-0.692589732,-0.812254573283207,0.55899044347184
"Fujisaka et al 1997","Fujisaka et al 1997b","Shifting agriculture",4,"Tropical rainforest","Proportion of primary forest species",1,0.495465427470427,"All plants",0.495465427470427,-0.504534572529573,-0.0181387874306123,0.719979561590805
"Fujisaka et al 1997","Fujisaka et al 1997b","Shifting agriculture",4,"Tropical rainforest","Proportion of primary forest species",1,0.447812310622457,"Trees",0.447812310622457,-0.552187689377543,-0.209513810345043,0.681408177940036
"Fujisaka et al 1997","Fujisaka et al 1997c","Shifting agriculture",5,"Tropical rainforest","Proportion of primary forest species",1,0.343247526587143,"All plants",0.343247526587143,-0.656752473412857,-0.648855355941181,0.591922558597896
"Fujisaka et al 1997","Fujisaka et al 1997c","Shifting agriculture",5,"Tropical rainforest","Proportion of primary forest species",1,0.308059908233053,"Trees",0.308059908233053,-0.691940091766947,-0.809205107969264,0.559600830716211
"Fernandes et al 1995","Fernandes et al 1995a","Pasture",6,"Tropical rainforest","Proportion of primary forest species",1,0.145454545454545,"Trees",0.145454545454545,-0.854545454545454,-1.77070606003022,0.382063330541161
"Piotto et al 2009","Piotto et al 2009a","Shifting agriculture",10,"Tropical moist forest","Proportion of primary forest species",282,34,"Trees",0.120567375886525,-0.879432624113475,-1.98706822154882,0.347651273282979
"Piotto et al 2009","Piotto et al 2009b","Shifting agriculture",25,"Tropical moist forest","Proportion of primary forest species",282,98,"Trees",0.347517730496454,-0.652482269503546,-0.629968278938414,0.595753754634528
"Piotto et al 2009","Piotto et al 2009c","Shifting agriculture",40,"Tropical moist forest","Proportion of primary forest species",282,119,"Trees",0.421985815602837,-0.578014184397163,-0.314626707695233,0.660026211099845
"Cascante Marin et al 2006","Cascante Marin et al 2006a","Pasture",10,"Tropical moist forest","Proportion of primary forest species",1,0.5,"Epiphytes",0.5,-0.5,0,0.723601254558268
"Cascante Marin et al 2006","Cascante Marin et al 2006b","Pasture",37.5,"Tropical moist forest","Proportion of primary forest species",1,0.8,"Epiphytes",0.8,-0.2,1.38629436111989,0.962961690827632
"Castillo-Campos et al 2008","Castillo-Campos et al 2008a","Pasture",16,"Tropical dry forest","Proportion of primary forest species",1,0.42,"All plants",0.42,-0.58,-0.322773392263051,0.658365643142081
"Liebsch et al 2008","Liebsch et al 2008a","Shifting agriculture",4,"Tropical rainforest","Proportion of primary forest species",1,0.04,"All plants",0.04,-0.96,-3.17805383034794,0.200026684104869
"Chazdon et al 2009","Chazdon et al 2009a","Pasture",11,"Tropical rainforest","Proportion of primary forest species",1,0.25,"All plants",0.25,-0.75,-1.09861228866811,0.502673109627001
"Liebsch et al 2008","Liebsch et al 2008b","Shifting agriculture",20,"Tropical rainforest","Proportion of primary forest species",1,0.04,"All plants",0.04,-0.96,-3.17805383034794,0.200026684104869
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007a","Pasture",10,"Tropical rainforest","Proportion of primary forest species",1,0.0555555555555556,"All plants",0.0555555555555556,-0.944444444444444,-2.83321334405622,0.235762959942646
"Marín-Spiotta et al 2007","Marín-Spiotta et al 2007b","Pasture",20,"Tropical rainforest","Proportion of primary forest species",1,0.111111111111111,"All plants",0.111111111111111,-0.888888888888889,-2.07944154167984,0.333678009975131
