"","Coefficients","SE","2.5% CI","97.5% CI"
"(Intercept)",1.9610087132173,1.15210530388497,-0.306757856500005,4.2287752829346
"AGB_Ref",0.00632264951912606,0.00336811920710783,-0.000299330879047917,0.0129446299173
"Age",0.175030715909383,0.178410511834191,-0.176047742257678,0.526109174076444
"I(Age^2)",-0.00300810242543769,0.00602256716848932,-0.014859722411056,0.00884351756018059
"DisturbancePasture",0.421918458629925,1.08597934240062,-1.71596534185134,2.5598022591112
"DisturbanceShifting agriculture",0.0805047128825671,1.33978176576184,-2.55382286893389,2.71483229469903
"AGB_Ref:Age",0.000810984715427855,0.000321443985106648,0.000178520354999649,0.00144344907585606
"AGB_Ref:I(Age^2)",-1.3349948115873e-05,5.1345857739697e-06,-2.34572527129874e-05,-3.24264351875854e-06
"DisturbancePasture:I(Age^2)",0.00289929260884698,0.00619671674482444,-0.00930230921021783,0.0151008944279118
"DisturbanceShifting agriculture:I(Age^2)",-2.40928789710213e-05,0.00698065666866014,-0.0137575398573475,0.0137093540994055
"Age:DisturbancePasture",0.138291571059283,0.214329618197442,-0.284071663519826,0.560654805638393
"Age:DisturbanceShifting agriculture",0.248080242239821,0.242930579774613,-0.230287163695913,0.726447648175556
