Age,Life,Past land use,Biomass
0.3,Moist,Agriculture,4
0.5,Wet,Agriculture,2
0.7,Moist,Agriculture,5
0.8,Moist,Agriculture,4
0.8,Moist,Agriculture,9
0.8,Moist,Agriculture,12
0.8,Moist,Agriculture,100
0.8,Moist,Agriculture,9
0.8,Moist,Agriculture,7
0.8,Moist,Agriculture,4
0.8,Moist,Agriculture,13
0.8,Moist,Agriculture,14
0.8,Moist,Agriculture,14
0.8,Wet,Agriculture,5
1,Moist,Agriculture,10
1,Wet,Cleared and abandoned,5
1,Moist,Agriculture,8
1,Moist,Agriculture,5
1,Wet,Agriculture,7
1,Moist,Agriculture,6
1.4,Moist,Agriculture,13
2,Moist,Agriculture,7
2,Moist,Agriculture,13
2,Moist,Agriculture,19
2,Moist,Agriculture,13
2.4,Wet,Agriculture,25
2.5,Moist,Agriculture,16
2.5,Moist,Pasture,8
2.8,Moist,Pasture,33
3,Moist,Agriculture,37
3,Moist,Agriculture,33
3,Moist,Agriculture,5
3,Wet,Cleared and abandoned,5
3,Moist,Agriculture,23
3,Wet,Cleared and abandoned,9
3,Wet,Cleared and abandoned,1
3,Wet,Cleared and abandoned,13
3,Wet,Agriculture,20
3.5,Moist,Pasture,17
3.5,Moist,Pasture,29
3.5,Moist,Pasture,8
3.6,Moist,Agriculture,41
4,Moist,Agriculture,38
4,Moist,Agriculture,41
4,Dry,Agriculture,23
4,Dry,Agriculture,30
4,Moist,Agriculture,27
4,Wet,Agriculture,29
4,Moist,Pasture,17
4.4,Moist,Agriculture,53
4.5,Moist,Pasture,53
5,Moist,Agriculture,38
5,Moist,Agriculture,77
5,Moist,Agriculture,37
5,Moist,Agriculture,23
5,Wet,Agriculture,34
6,Moist,Agriculture,11
6,Moist,Agriculture,43
6,Moist,Agriculture,45
7,Wet,Pasture,6
7,Dry,Agriculture,29
7,Dry,Agriculture,26
7,Moist,Agriculture,47
7,Wet,Agriculture,43
7.5,Moist,Pasture,37
8,Moist,Agriculture,122
8,Wet,Agriculture,22
8,Wet,Pasture,97
8,Moist,Agriculture,66
8,Moist,Pasture,89
8,Moist,Pasture,86
8,Moist,Pasture,33
8,Moist,Pasture,5
9,Moist,Agriculture,90
9,Moist,Agriculture,13
9,Moist,Agriculture,44
9,Moist,Agriculture,72
10,Dry,Agriculture,66
10,Dry,Agriculture,73
10,Dry,Agriculture,56
10,Dry,Agriculture,57
10,Moist,Agriculture,54
10,Moist,Agriculture,58
11,Moist,Pasture,63
11,Wet,Agriculture,36
11,Moist,Agriculture,53
12,Wet,Pasture,6
12,Moist,Agriculture,83
14,Moist,Agriculture,53
15,Moist,Agriculture,10
16,Wet,Agriculture,272
18,Moist,Agriculture,123
20,Moist,Agriculture,60
20,Wet,Agriculture,76
20,Wet,Agriculture,253
20,Moist,Agriculture,62
20,Moist,Agriculture,98
20,Moist,Agriculture,64
20,Moist,Agriculture,83
20,Moist,Agriculture,15
22,Wet,Pasture,30
25,Wet,Pasture,88
26,Wet,Agriculture,199
30,Moist,Agriculture,54
30,Wet,Agriculture,241
35,Moist,Agriculture,109
35,Moist,Agriculture,108
40,Moist,Agriculture,159
50,Moist,Agriculture,214
50,Wet,Agriculture,274
50,Dry,Cleared and abandoned,45
50,Moist,Agriculture,178
54,Moist,Pasture,158
60,Wet,Pasture,65
60,Wet,Pasture,108
60,Moist,Agriculture,116
60,Moist,Agriculture,197
60,Moist,Agriculture,138
80,Moist,Agriculture,134
80,Moist,Agriculture,178
80,Moist,Agriculture,144
80,Moist,Agriculture,142
