Age,Species richness,Taxa
1.002,89.1859,Ants
0.9979,68.5023,Ants
0.9939,49.7654,Ants
0.9938,44.4118,Ants
5.0048,46.0596,Ants
10.9567,73.4128,Ants
10.9973,76.5756,Ants
14.0228,84.3176,Ants
17.1238,103.0184,Ants
20.9715,90.3269,Ants
51.3436,93.8115,Ants
41.19,127.434,Ants
1.0014,63.148,Birds
0.9973,40.0309,Birds
0.9935,31.2711,Birds
0.9931,12.2903,Birds
0.9965,6.936,Birds
2.0012,63.02,Birds
1.9931,46.9599,Birds
1.9997,29.6817,Birds
3.0166,98.4726,Birds
6.0685,72.062,Birds
10.9948,66.1117,Birds
6.0292,105.6449,Birds
6.0752,121.2176,Birds
9.0246,149.8593,Birds
18.1524,118.0951,Birds
21.1961,80.5911,Birds
26.3481,84.9311,Birds
37.611,115.0402,Birds
41.4627,98.718,Birds
